Index,Regions,Sub-Regions,Country,Company Name,Industry Tag,CUSIP,ISIN,SEDOL,FIGI,CIK,Ticker,MIC Code,Exchange,Market Currency
1,Asia Pacific,East Asia,China,Tcl Technology Group Corp A,Electronic Components & Systems,,CNE000001GL8,BD5CP28,,,100,XHKG,Hong Kong Stock Exchange,HKD
2,Asia Pacific,East Asia,China,Yuexiu Property Company Ltd,Real Estate Operations,,HK0000745908,BNR5PB4,,,123,XHKG,Hong Kong Stock Exchange,HKD
3,Asia Pacific,East Asia,China,Kunlun Energy Ltd,Natural Gas Utilities,S63400782,BMG5320C1082,6340078,,,135,XHKG,Hong Kong Stock Exchange,HKD
4,Asia Pacific,East Asia,China,China Ruyi Holdings Ltd,Media & Publishing,,BMG4404N1149,BMDMJ87,,,136,XHKG,Hong Kong Stock Exchange,HKD
5,Asia Pacific,East Asia,China,China Merchants Port Holdings Ltd,Transport Infrastructure,S64161391,HK0144000764,6416139,,,144,XHKG,Hong Kong Stock Exchange,HKD
6,Asia Pacific,East Asia,China,Kingboard Holdings Ltd,Electronic Components & Systems,S64913189,KYG525621408,6491318,,,148,XHKG,Hong Kong Stock Exchange,HKD
7,Asia Pacific,East Asia,China,Want Want China Holdings Ltd,Food & Tobacco,,KYG9431R1039,B2Q14Z3,,,151,XHKG,Hong Kong Stock Exchange,HKD
8,Asia Pacific,East Asia,China,Shenzhen International Holdings Lt,Transport Infrastructure,,BMG8086V1467,BJVBTY1,,,152,XHKG,Hong Kong Stock Exchange,HKD
9,Asia Pacific,East Asia,China,Tsingtao Brewery Ltd H,Beverages,S69058089,CNE1000004K1,6905808,,,168,XHKG,Hong Kong Stock Exchange,HKD
10,Asia Pacific,East Asia,China,Geely Automobile Holdings Ltd,Automobiles & Auto Parts,S65318271,KYG3777B1032,6531827,,,175,XHKG,Hong Kong Stock Exchange,HKD
11,Asia Pacific,East Asia,China,Jiangsu Expressway Ltd H,Transport Infrastructure,S60055043,CNE1000003J5,6005504,,,177,XHKG,Hong Kong Stock Exchange,HKD
12,Asia Pacific,East Asia,China,Dongyue Group Ltd,Chemicals,,KYG2816P1072,B29MXW3,,,189,XHKG,Hong Kong Stock Exchange,HKD
13,Asia Pacific,East Asia,China,Uni-President Ltd,Beverages,,KYG9222R1065,B29MKF5,,,220,XHKG,Hong Kong Stock Exchange,HKD
14,Asia Pacific,East Asia,China,Alibaba Health Information Tech Lt,Diversified Retail,,BMG0171K1018,BRXVS60,,,241,XHKG,Hong Kong Stock Exchange,HKD
15,Asia Pacific,East Asia,China,China Everbright Environment Group,Integrated Utilities,S66309402,HK0257001336,6630940,,,257,XHKG,Hong Kong Stock Exchange,HKD
16,Asia Pacific,East Asia,China,Citic Ltd,Banking Services,S61961520,HK0267001375,6196152,,,267,XHKG,Hong Kong Stock Exchange,HKD
17,Asia Pacific,East Asia,China,Kingdee Int L Software Group Ltd,Software & IT Solutions / Digital Services,S63275879,KYG525681477,6327587,,,268,XHKG,Hong Kong Stock Exchange,HKD
18,Asia Pacific,East Asia,China,Guangdong Investment Ltd,Water Utilities,S69131688,HK0270001396,6913168,,,270,XHKG,Hong Kong Stock Exchange,HKD
19,Asia Pacific,East Asia,China,Byd Electronic (International) Ltd,Electronic Components & Systems,,HK0285041858,B29SHS5,,,285,XHKG,Hong Kong Stock Exchange,HKD
20,Asia Pacific,East Asia,China,China Resources Beer Holdings Ltd,Beverages,S69724599,HK0291001490,6972459,,,291,XHKG,Hong Kong Stock Exchange,HKD
